district_code,district_name,localbody_code,localbody_name
306,PURBA BARDHAMAN,108567,PANCHRAH
317,MEDINIPUR EAST,110060,PANCHROL
319,MURSHIDABAD,110592,PANCHTHUPI
311,DINAJPUR UTTAR,109295,PANDITPOTA-I
311,DINAJPUR UTTAR,109296,PANDITPOTA-II
309,DARJEELING,261037,PANDU
316,MALDAH,109898,PANDUA
312,HOOGHLY,109496,PANDUA
306,PURBA BARDHAMAN,108633,PANDUGRAM
320,NADIA,110829,PANIGHATA
314,JALPAIGURI,109852,PANIKAURI
317,MEDINIPUR EAST,110068,PANIPARUL
321,PURULIA,111083,PANIPATHAR
308,COOCHBEHAR,108947,PANISALA
311,DINAJPUR UTTAR,109277,PANJIPARA
310,DINAJPUR DAKSHIN,109220,PANJUL
303,24 PARAGANAS NORTH,107830,PANPUR-KEUTIA
307,BIRBHUM,108907,PANRUI
317,MEDINIPUR EAST,110157,PANSKURA-I
313,HOWRAH,109632,PANTIHAL
704,PASCHIM BARDHAMAN,108499,PANURIA
318,MEDINIPUR WEST,110426,PAPARARA-I
318,MEDINIPUR WEST,110427,PAPARARA-II
321,PURULIA,111074,PARA
306,PURBA BARDHAMAN,108544,PARAJ
317,MEDINIPUR EAST,110116,PARAMANANDAPUR
316,MALDAH,109996,PARANPUR
704,PASCHIM BARDHAMAN,108577,PARASIA
306,PURBA BARDHAMAN,108568,PARATAL-I
306,PURBA BARDHAMAN,108569,PARATAL-II
313,HOWRAH,109618,PARBATIPUR
316,MALDAH,109964,PARDEONAPUR-SOVAPUR
703,Jhargram,110375,PARIHATI
664,Alipurduar,109727,PAROKATA
664,Alipurduar,109713,PARORPAR
305,BANKURA,108449,PARSOLA
307,BIRBHUM,108792,PARSUNDI
319,MURSHIDABAD,110659,PARULIA
304,24 PARAGANAS SOUTH,108093,PARULIA
307,BIRBHUM,108773,PARULIA
304,24 PARAGANAS SOUTH,108036,PASCHIM BISHNUPUR
303,24 PARAGANAS NORTH,107815,PASCHIM KHILKAPUR
312,HOOGHLY,109448,PASCHIMGOPINATHPUR
312,HOOGHLY,109434,PASCHIMPARA
703,Jhargram,110384,PATASHIMUL
317,MEDINIPUR EAST,110176,PATASPUR
308,COOCHBEHAR,108948,PATCHHARA
702,KALIMPONG,260978,PATENGODAK
304,24 PARAGANAS SOUTH,108124,PATHANKHALI
304,24 PARAGANAS SOUTH,108048,PATHARBERIA JAYCHANDIPUR
303,24 PARAGANAS NORTH,107948,PATHARGHATA
309,DARJEELING,109152,PATHARGHATA
320,NADIA,110940,PATHARGHATA-I
318,MEDINIPUR WEST,110328,PATHARPARA
304,24 PARAGANAS SOUTH,108259,PATHARPRATIMA
320,NADIA,110941,PATHATGHATA-II
703,Jhargram,110510,PATHRA
318,MEDINIPUR WEST,110435,PATHRA
319,MURSHIDABAD,110698,PATIKABARI
320,NADIA,110899,PATIKABARI
703,Jhargram,110470,PATINA
311,DINAJPUR UTTAR,109308,PATIRAJPUR
314,JALPAIGURI,109772,PATKATA
319,MURSHIDABAD,110741,PATKELDANGA
308,COOCHBEHAR,108933,PATLAKHAWA
664,Alipurduar,109714,PATLAKHAWA
303,24 PARAGANAS NORTH,107927,PATLIKHANPUR
304,24 PARAGANAS SOUTH,108100,PATRA
305,BANKURA,108411,PATRASAYER
310,DINAJPUR DAKSHIN,109192,PATRIRAM
306,PURBA BARDHAMAN,108720,PATULI
303,24 PARAGANAS NORTH,107836,PATULIA
312,HOOGHLY,109539,PAYARAPUR
702,KALIMPONG,261026,PAYONG
320,NADIA,110906,PAYRADANGA
305,BANKURA,108458,PEARBERA
702,KALIMPONG,261027,PEDON
316,MALDAH,109997,PEERGANJ
308,COOCHBEHAR,108983,PER-MEKHLIGANJ
312,HOOGHLY,109417,PERAMBUASAHABAZAR
