location_id,state_code,state_name,district_code,district_name,subdistrict_code,subdistrict_name,block_code,block_name,localbody_code,localbody_name,village_code,village_name,village_status,census_2011_code
MED-WB-VIL-008303,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108772,PADUMA,318287,Khosnagar,Inhabitant,318287.0
MED-WB-VIL-008304,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108766,CHINPAI,318110,Kolara,Inhabitant,318110.0
MED-WB-VIL-008305,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108769,JASHPUR,318258,Koraturi,Inhabitant,318258.0
MED-WB-VIL-008306,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108771,LOBA,318241,Kota,Inhabitant,318241.0
MED-WB-VIL-008307,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108769,JASHPUR,318255,Krishnanagar,Inhabitant,318255.0
MED-WB-VIL-008308,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108774,SAHAPUR,318124,Kuita,Inhabitant,318124.0
MED-WB-VIL-008309,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108765,BALIJURI,318148,Kukutia,Inhabitant,318148.0
MED-WB-VIL-008310,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108772,PADUMA,318292,Kultor,Inhabitant,318292.0
MED-WB-VIL-008311,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108765,BALIJURI,318149,Kumarbundra,Inhabitant,318149.0
MED-WB-VIL-008312,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318137,Kuraljuri,Inhabitant,318137.0
MED-WB-VIL-008313,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108769,JASHPUR,318250,Lahagram,Inhabitant,318250.0
MED-WB-VIL-008314,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108767,GOHALIARA,318171,Lakshmipur,Inhabitant,318171.0
MED-WB-VIL-008315,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318135,Lashmi Narayanpur,Inhabitant,318135.0
MED-WB-VIL-008316,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108771,LOBA,318238,Loba,Inhabitant,318238.0
MED-WB-VIL-008317,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108766,CHINPAI,318096,Maathabera,Inhabitant,318096.0
